word,count,auto_pronunciation,manual_pronunciation,status,notes
Puruśa,11915,Purusha,,auto,
sádhaná,4180,saadhanaa,,auto,
Krśńa,3025,Krshńa,,auto,
Ráŕh,1577,Raaŕh,,auto,
Saḿskrta,1519,Samskrta,,auto,
Máyá,1396,Maayaa,,auto,
saḿskáras,1160,samskaaras,,auto,
Saguńa,1143,Saguńa,,auto,
kśatriyas,1123,kshaatriyas,,auto,
Sádhaná,1054,Saadhanaa,,auto,
sádhaka,1042,saadhaka,,auto,
samádhi,1011,samaadhi,,auto,
Puruśottama,975,Purushottama,,auto,
sádhakas,811,saadhakas,,auto,
Ánanda,806,aananda,,auto,
shúdras,677,shoodras,,auto,
Nirguńa,665,Nirguńa,,auto,
jiṋána,640,jnyaaana,,auto,
kośa,627,kosha,,auto,
Párthasárathi,616,Paarthasaarathi,,auto,
Prákrta,606,Praakrta,,auto,
tanmátras,556,tanmaatras,,auto,
átman,552,aatman,,auto,
Bábá,548,Baabaa,,auto,
Paramátman,545,Paramaatman,,auto,
Viśńu,533,Vishńu,,auto,
Párvatii,527,Paarvatii,,auto,
ahaḿtattva,521,ahamtattva,,auto,
bháva,520,bhaava,,auto,
Átman,513,aatman,,auto,
Paramátmá,504,Paramaatmaa,,auto,
Avidyá,500,Avidyaa,,auto,
ná,461,naa,,auto,
pramá,454,pramaa,,auto,
Kśatriya,453,kshaatriya,,auto,
dhyána,435,dhyaana,,auto,
Mahábhárata,415,Mahaabhaarata,,auto,
Kośa,409,Kosha,,auto,
Náráyańa,391,Naaraayańa,,auto,
Ráma,386,Raama,,auto,
vidyá,385,vidyaa,,auto,
Vidyá,384,Vidyaa,,auto,
avidyá,383,avidyaa,,auto,
mudrá,383,mudraa,,auto,
guńas,381,guńas,,auto,
Bhagaván,378,Bhagavaan,,auto,
kśatriya,375,kshaatriya,,auto,
Kálii,374,Kaalii,,auto,
Yajiṋa,374,Yajnyaa,,auto,
Bhágavata,372,Bhaagavata,,auto,
práńa,367,praańa,,auto,
sevá,366,sevaa,,auto,
Giitá,356,Giitaa,,auto,
mokśa,356,mokshaa,,auto,
shúdra,353,shoodra,,auto,
vá,351,vaa,,auto,
kulakuńd́alinii,327,kulakuńdalinii,,auto,
Sadáshiva,322,Sadaashiva,,auto,
Iśt́a,321,Ishta,,auto,
shástra,314,shaastra,,auto,
sádhu,313,saadhu,,auto,
Márga,303,Maarga,,auto,
pratisaiṋcara,301,pratisaiṋchara,,auto,
Mudrá,298,Mudraa,,auto,
pápa,293,paapa,,auto,
Pratisaiṋcara,290,Pratisaiṋchara,,auto,
Sádhaka,289,Saadhaka,,auto,
Samádhi,289,Samaadhi,,auto,
Táraka,289,Taaraka,,auto,
Práńa,287,Praańa,,auto,
ghaiṋ,286,ghaiṋ,,auto,
sahasrára,284,sahasraara,,auto,
Avidyámáyá,282,Avidyaamaayaa,,auto,
jiivátmá,282,jiivaatmaa,,auto,
Brahmá,281,Brahmaa,,auto,
diikśá,279,diikshaaa,,auto,
sarvaḿ,279,sarvam,,auto,
ácárya,278,aachaarya,,auto,
má,277,maa,,auto,
Vacanámrtam,272,Vachanaamrtam,,auto,
tanmátra,271,tanmaatra,,auto,
Saiṋcara,267,Saiṋchara,,auto,
Sáḿkhya,267,Saamkhya,,auto,
rśi,266,rshi,,auto,
ÁAA,252,aaAA,,auto,
saiṋcara,252,saiṋchara,,auto,
kámamaya,241,kaamamaya,,auto,
kośas,235,koshas,,auto,
áus,231,aaus,,auto,
ÁVA,230,aaVA,,auto,
práńáyáma,230,praańaayaama,,auto,
Vaeśńava,230,Vaeshńava,,auto,
Ahaḿtattva,229,Ahamtattva,,auto,
táńd́ava,229,taańdava,,auto,
sá,227,saa,,auto,
Bhavánii,226,Bhavaanii,,auto,
Sádhakas,225,Saadhakas,,auto,
Tárá,223,Taaraa,,auto,
ámi,217,aami,,auto,
saḿskára,217,samskaara,,auto,
Rámáyańa,212,Raamaayańa,,auto,
Durgá,211,Durgaa,,auto,
lokatrikońa,211,lokatrikońa,,auto,
Ácárya,209,aachaarya,,auto,
Mahádeva,208,Mahaadeva,,auto,
puruśa,208,purusha,,auto,
Jiṋána,205,Jnyaaana,,auto,
Shákta,203,Shaakta,,auto,
Krśńa's,202,Krshńa's,,auto,
Oṋḿ,202,omm,,auto,
Shúdras,201,Shoodras,,auto,
átmá,200,aatmaa,,auto,
Rádhá,200,Raadhaa,,auto,
Shúdra,200,Shoodra,,auto,
oṋḿkára,198,ommkaara,,auto,
ásanas,194,aasanas,,auto,
káma,191,kaama,,auto,
ánanda,184,aananda,,auto,
Oṋḿkára,183,ommkaara,,auto,
Pramátrikońa,174,Pramaatrikońa,,auto,
yajiṋa,172,yajnyaa,,auto,
Bháva,170,Bhaava,,auto,
d́a,169,da,,auto,
tvaḿ,169,tvam,,auto,
Saḿskáras,168,Samskaaras,,auto,
Mahásambhúti,164,Mahaasambhooti,,auto,
váyus,164,vaayus,,auto,
itihása,163,itihaasa,,auto,
prańidhána,162,prańidhaana,,auto,
sambhúti,162,sambhooti,,auto,
devatá,161,devataa,,auto,
jiṋániis,161,jnyaaaniis,,auto,
kriyá,161,kriyaa,,auto,
Gauṋgá,160,Gauṋgaa,,auto,
anáhata,158,anaahata,,auto,
nám,158,naam,,auto,
práńáh,158,praańaah,,auto,
sattvaguńa,154,sattvaguńa,,auto,
vaerágya,154,vaeraagya,,auto,
puńya,153,puńya,,auto,
Avadhúta,152,Avadhoota,,auto,
Bhárata,152,Bhaarata,,auto,
Mádhava,150,Maadhava,,auto,
múládhára,150,moolaadhaara,,auto,
kalá,148,kalaa,,auto,
jiivátman,147,jiivaatman,,auto,
Kśatriyas,147,kshaatriyas,,auto,
Máyáváda,147,Maayaavaada,,auto,
Kurukśetra,146,Kurukshaetra,,auto,
oṋḿ,146,omm,,auto,
Paramártha,146,Paramaartha,,auto,
ahiḿsá,143,ahimsaa,,auto,
rśis,143,rshis,,auto,
Vidyámáyá,142,Vidyaamaayaa,,auto,
nihitaḿ,141,nihitam,,auto,
pramátrikońa,141,pramaatrikońa,,auto,
mánava,140,maanava,,auto,
Shaḿkara,140,Shamkara,,auto,
Kaośikii,139,Kaoshikii,,auto,
Mokśa,136,Mokshaa,,auto,
avatára,135,avataara,,auto,
Lakśmii,135,Lakshamii,,auto,
váyu,135,vaayu,,auto,
Kámamaya,132,Kaamamaya,,auto,
Má,132,Maa,,auto,
mańipura,131,mańipura,,auto,
Sútram,130,Sootram,,auto,
pará,129,paraa,,auto,
Kárttika,128,Kaarttika,,auto,
nái,128,naai,,auto,
rága,128,raaga,,auto,
samása,128,samaasa,,auto,
shraddhá,128,shraddhaa,,auto,
ágama,127,aagama,,auto,
liilá,127,liilaa,,auto,
Tadekaḿ,127,Tadekam,,auto,
ámár,126,aamaar,,auto,
bhútáni,126,bhootaani,,auto,
guńa,126,guńa,,auto,
Nárada,126,Naarada,,auto,
jiṋánii,125,jnyaaanii,,auto,
kuńd́alinii,125,kuńdalinii,,auto,
tathá,125,tathaa,,auto,
svabháva,123,svabhaava,,auto,
práńendriya,122,praańendriya,,auto,
Puruśah,122,Purushah,,auto,
duratyayá,120,duratyayaa,,auto,
kśititattva,120,kshaititattva,,auto,
paramaḿ,120,paramam,,auto,
vibhinnáh,120,vibhinnaah,,auto,
Bhúta,119,Bhoota,,auto,
pátaka,119,paataka,,auto,
rajoguńa,119,rajoguńa,,auto,
jiṋátvá,118,jnyaaatvaa,,auto,
Paramá,118,Paramaa,,auto,
Rám,118,Raam,,auto,
Sá,117,Saa,,auto,
tárayet,116,taarayet,,auto,
yatamána,116,yatamaana,,auto,
áche,115,aache,,auto,
átmani,115,aatmani,,auto,
dhárańá,115,dhaarańaa,,auto,
Advaetaváda,114,Advaetavaada,,auto,
guháyám,114,guhaayaam,,auto,
samája,114,samaaja,,auto,
sharańaḿ,114,sharańam,,auto,
tattvaḿ,114,tattvam,,auto,
Mágadhii,113,Maagadhii,,auto,
śa,113,sha,,auto,
bhái,112,bhaai,,auto,
prańava,112,prańava,,auto,
sadá,112,sadaa,,auto,
Kśara,111,kshaara,,auto,
Ahaḿ,110,Aham,,auto,
bhayaḿ,110,bhayam,,auto,
oṋm,110,omm,,auto,
mahápátaka,109,mahaapaataka,,auto,
ájiṋá,108,aajnyaaa,,auto,
devatás,107,devataas,,auto,
Hirańmaya,106,Hirańmaya,,auto,
márga,106,maarga,,auto,
Dharmakśetra,105,Dharmakshaetra,,auto,
jiṋánam,105,jnyaaanam,,auto,
paraḿ,105,param,,auto,
Prańidhána,105,Prańidhaana,,auto,
Akśara,104,Akshaara,,auto,
yáti,104,yaati,,auto,
páshas,103,paashas,,auto,
pitá,103,pitaa,,auto,
sádhus,103,saadhus,,auto,
dharmakśetra,102,dharmakshaetra,,auto,
itikathá,101,itikathaa,,auto,
pratyáhára,101,pratyaahaara,,auto,
táre,101,taare,,auto,
matvá,100,matvaa,,auto,
parábhakti,100,paraabhakti,,auto,
ánandam,99,aanandam,,auto,
bhúta,99,bhoota,,auto,
Maharśi,98,Maharshi,,auto,
Práńáyáma,98,Praańaayaama,,auto,
Ráŕhii,98,Raaŕhii,,auto,
shástras,98,shaastras,,auto,
Yadá,98,Yadaa,,auto,
Kárya,97,Kaarya,,auto,
tamoguńa,97,tamoguńa,,auto,
tár,96,taar,,auto,
Cárváka,95,Chaarvaaka,,auto,
Káliká,95,Kaalikaa,,auto,
Manasá,95,Manasaa,,auto,
Paritráńáya,95,Paritraańaaya,,auto,
kśa,94,kshaa,,auto,
Pramá,94,Pramaa,,auto,
Rávańa,94,Raavańa,,auto,
Vrajagopála,94,Vrajagopaala,,auto,
parińáma,93,parińaama,,auto,
Saiṋjaya,93,Saiṋjaya,,auto,
sakhá,93,sakhaa,,auto,
vibháti,93,vibhaati,,auto,
jáyate,92,jaayate,,auto,
paráshakti,92,paraashakti,,auto,
Dvápara,91,Dvaapara,,auto,
satsauṋga,91,satsauṋga,,auto,
Sattvaguńa,91,Sattvaguńa,,auto,
shák,91,shaak,,auto,
viná,91,vinaa,,auto,
Adhyátma,90,Adhyaatma,,auto,
durácárii,90,duraachaarii,,auto,
Máyámetáḿ,90,Maayaametaam,,auto,
mudrás,90,mudraas,,auto,
Prayága,90,Prayaaga,,auto,
vikśubdha,90,vikshaubdha,,auto,
yadá,90,yadaa,,auto,
tomár,89,tomaar,,auto,
upádhi,89,upaadhi,,auto,
Tamoguńa,88,Tamoguńa,,auto,
bhútas,87,bhootas,,auto,
madhyamá,87,madhyamaa,,auto,
samatábhávo,87,samataabhaavo,,auto,
saḿvaro,87,samvaro,,auto,
sudurácáro,87,suduraachaaro,,auto,
devaḿ,86,devam,,auto,
Jiivátman,86,Jiivaatman,,auto,
kárańa,86,kaarańa,,auto,
Mámeva,86,Maameva,,auto,
Puruśa's,86,Purusha's,,auto,
rágátmiká,86,raagaatmikaa,,auto,
Ámi,85,aami,,auto,
Átmá,85,aatmaa,,auto,
Yá,85,Yaa,,auto,
Yathá,85,Yathaa,,auto,
duśkrtám,84,dushkrtaam,,auto,
evedaḿ,84,evedam,,auto,
iśt́a,84,ishta,,auto,
jáyante,84,jaayante,,auto,
sambhavámi,84,sambhavaami,,auto,
Sevá,84,Sevaa,,auto,
ádhára,83,aadhaara,,auto,
bhágavata,83,bhaagavata,,auto,
jiivabháva,83,jiivabhaava,,auto,
mańd́ala,83,mańdala,,auto,
nirguńa,83,nirguńa,,auto,
Vyása,83,Vyaasa,,auto,
Ánandaḿ,82,aanandam,,auto,
káka,82,kaaka,,auto,
Mandárań,82,Mandaarań,,auto,
rágánugá,82,raagaanugaa,,auto,
rágas,82,raagas,,auto,
Tvaḿ,82,Tvam,,auto,
yathá,82,yathaa,,auto,
Kárańa,81,Kaarańa,,auto,
Mahákaola,81,Mahaakaola,,auto,
násti,81,naasti,,auto,
pratyaváya,81,pratyavaaya,,auto,
pújá,81,poojaa,,auto,
Tretá,81,Tretaa,,auto,
yáy,81,yaay,,auto,
bhavabandhanát,80,bhavabandhanaat,,auto,
Dhyána,80,Dhyaana,,auto,
Gharáńá,80,Gharaańaa,,auto,
janáh,80,janaah,,auto,
Páli,80,Paali,,auto,
Sáradá,80,Saaradaa,,auto,
vijiṋána,80,vijnyaaana,,auto,
ahaḿ,79,aham,,auto,
guńamayii,79,guńamayii,,auto,
mataḿ,79,matam,,auto,
vistára,79,vistaara,,auto,
ár,78,aar,,auto,
bhútvá,78,bhootvaa,,auto,
hiḿsá,78,himsaa,,auto,
náda,78,naada,,auto,
rúpa,78,roopa,,auto,
shráddha,78,shraaddha,,auto,
bhúmiḿ,77,bhoomim,,auto,
kurukśetra,77,kurukshaetra,,auto,
Kurukśetre,77,Kurukshaetre,,auto,
Pápa,77,Paapa,,auto,
Shambhúliuṋga,77,Shambhooliuṋga,,auto,
shraddhayá,77,shraddhayaa,,auto,
hyeśá,76,hyeshaa,,auto,
ká,76,kaa,,auto,
Prájiṋa,76,Praajnyaa,,auto,
sahasrapát,76,sahasrapaat,,auto,
tá,76,taa,,auto,
Utámrtatvasyesháno,76,Utaamrtatvasyeshaano,,auto,
Dharmasaḿsthápanártháya,75,Dharmasamsthaapanaarthaaya,,auto,
Iishvarakot́i,75,Iishvarakoti,,auto,
játáni,75,jaataani,,auto,
panthá,75,panthaa,,auto,
shyámá,75,shyaamaa,,auto,
tadátmánaḿ,75,tadaatmaanam,,auto,
Dharmakśetre,74,Dharmakshaetre,,auto,
haḿso,74,hamso,,auto,
Kevalá,74,Kevalaa,,auto,
Phálguna,74,Phaalguna,,auto,
pracodayát,74,prachodayaat,,auto,
sádhaka's,74,saadhaka's,,auto,
Sáhitya,74,Saahitya,,auto,
Shiva-liuṋga,74,Shiva-liuṋga,,auto,
yadbhútaḿ,74,yadbhootam,,auto,
Demi-Mágadhii,73,Demi-Maagadhii,,auto,
Gańesha,73,Gańesha,,auto,
paramártha,73,paramaartha,,auto,
prápya,73,praapya,,auto,
saḿkalpa,73,samkalpa,,auto,
vinásha,73,vinaasha,,auto,
vinásháya,73,vinaashaaya,,auto,
Dhrtaráśt́ra,72,Dhrtaraashtra,,auto,
Himaván,72,Himavaan,,auto,
Káma,72,Kaama,,auto,
mahápátakii,72,mahaapaatakii,,auto,
muktapuruśa,72,muktapurusha,,auto,
ńa,72,ńa,,auto,
Puńya,72,Puńya,,auto,
Sádhu,72,Saadhu,,auto,
Sarvájiive,72,Sarvaajiive,,auto,
sarvasaḿsthe,72,sarvasamsthe,,auto,
Khyát́andás,71,Khyaatandaas,,auto,
mámananyabhák,71,maamananyabhaak,,auto,
máḿsa,71,maamsa,,auto,
Prańava,71,Prańava,,auto,
Púrńimá,71,Poorńimaa,,auto,
Vaeshákha,71,Vaeshaakha,,auto,
Agraháyańa,70,Agrahaayańa,,auto,
apará,70,aparaa,,auto,
Áshvina,70,aashvina,,auto,
bhagaván,70,bhagavaan,,auto,
gáyattrii,70,gaayattrii,,auto,
Puráńa,70,Puraańa,,auto,
sálokya,70,saalokya,,auto,
Taḿ,70,Tam,,auto,
yadannenátirohati,70,yadannenaatirohati,,auto,
Arúp,69,Aroop,,auto,
Dvitiiyaḿ,69,Dvitiiyam,,auto,
manasá,69,manasaa,,auto,
mátá,69,maataa,,auto,
ráginiis,69,raaginiis,,auto,
Rajoguńa,69,Rajoguńa,,auto,
Saḿyoga,69,Samyoga,,auto,
prajiṋá,68,prajnyaaa,,auto,
Sutanuká,68,Sutanukaa,,auto,
Tathá,68,Tathaa,,auto,
vipáka,68,vipaaka,,auto,
Ágama,67,aagama,,auto,
Gaod́iiya,67,Gaodiiya,,auto,
gurupújanam,67,gurupoojanam,,auto,
sama-samája,67,sama-samaaja,,auto,
Saḿgraha,67,Samgraha,,auto,
svádhiśt́hána,67,svaadhishthaana,,auto,
upavása,67,upavaasa,,auto,
varńa,67,varńa,,auto,
Vijiṋánamaya,67,Vijnyaaanamaya,,auto,
yakśa,67,yakshaa,,auto,
Gáyattrii,66,Gaayattrii,,auto,
glánirbhavati,66,glaanirbhavati,,auto,
kathá,66,kathaa,,auto,
Subháśita,66,Subhaashita,,auto,
sudurácárii,66,suduraachaarii,,auto,
vashiikára,66,vashiikaara,,auto,
viirabháva,66,viirabhaava,,auto,
yá,66,yaa,,auto,
atipátaka,65,atipaataka,,auto,
Idaḿ,65,Idam,,auto,
práńah,65,praańah,,auto,
Saḿskára,65,Samskaara,,auto,
Shaḿkarácárya,65,Shamkaraachaarya,,auto,
Utkśepa,65,Utkshaepa,,auto,
Vijiṋána,65,Vijnyaaana,,auto,
vrtvá'tyatiśt́haddasháuṋgulam,65,vrtvaa'tyatishthaddashaauṋgulam,,auto,
abhimána,64,abhimaana,,auto,
bhúmi,64,bhoomi,,auto,
Hirańyagarbha,64,Hirańyagarbha,,auto,
hládinii,64,hlaadinii,,auto,
nád́ii,64,naadii,,auto,
namámi,64,namaami,,auto,
Rájasika,64,Raajasika,,auto,
sádhúnáḿ,64,saadhoonaam,,auto,
Shrávańa,64,Shraavańa,,auto,
Vák,64,Vaak,,auto,
vákya,64,vaakya,,auto,
yakśińii,64,yakshaińii,,auto,
avadhúta,63,avadhoota,,auto,
dhárá,63,dhaaraa,,auto,
Páháŕii,63,Paahaaŕii,,auto,
sahasrákśah,63,sahasraakshaah,,auto,
tál,63,taal,,auto,
Acyutánanda,62,Acyutaananda,,auto,
Ánandamúrti,62,aanandamoorti,,auto,
jiṋánávabhásáni,62,jnyaaanaavabhaasaani,,auto,
lakśańam,62,lakshaańam,,auto,
máyá,62,maayaa,,auto,
pramitáháro,62,pramitaahaaro,,auto,
rúpaḿ,62,roopam,,auto,
Sahasrashiirśá,62,Sahasrashiirshaa,,auto,
samáná,62,samaanaa,,auto,
Táni,62,Taani,,auto,
bodhanát,61,bodhanaat,,auto,
játah,61,jaatah,,auto,
kevalá,61,kevalaa,,auto,
Mámekaḿ,61,Maamekam,,auto,
Paramátma,61,Paramaatma,,auto,
preritáraiṋca,61,preritaaraiṋcha,,auto,
puńyáya,61,puńyaaya,,auto,
Śaśt́haiṋca,61,Śashthaiṋcha,,auto,
vrajámah,61,vrajaamah,,auto,
yuktaḿ,61,yuktam,,auto,
ávarańii,60,aavarańii,,auto,
buddhyá,60,buddhyaa,,auto,
niśáda,60,nishaada,,auto,
Nyáya,60,Nyaaya,,auto,
pańd́á,60,pańdaa,,auto,
pańd́ita,60,pańdita,,auto,
Prańáma,60,Prańaama,,auto,
Vaekuńt́ha,60,Vaekuńtha,,auto,
vrthá,60,vrthaa,,auto,
ásana,59,aasana,,auto,
Átmajiṋánaḿ,59,aatmajnyaaanam,,auto,
Jiṋánamátmani,59,Jnyaaanamaatmani,,auto,
jiṋánányanyáni,59,jnyaaanaanyanyaani,,auto,
krpá,59,krpaa,,auto,
náma,59,naama,,auto,
palásh,59,palaash,,auto,
sárasyanaeva,59,saarasyanaeva,,auto,
súryah,59,sooryah,,auto,
vidurjiṋánaḿ,59,vidurjnyaaanam,,auto,
yánitu,59,yaanitu,,auto,
yojanát,59,yojanaat,,auto,
Agnisára,58,Agnisaara,,auto,
Itihása,58,Itihaasa,,auto,
Phaliśyatiiti,58,Phalishyatiiti,,auto,
purodhá,58,purodhaa,,auto,
sáhitya,58,saahitya,,auto,
samavetáh,58,samavetaah,,auto,
sárśt́hi,58,saarshthi,,auto,
vishvásah,58,vishvaasah,,auto,
cái,57,chaai,,auto,
kśatriyas',57,kshaatriyas',,auto,
Mágha,57,Maagha,,auto,
nidhanaḿ,57,nidhanam,,auto,
pápáya,57,paapaaya,,auto,
sakalaḿ,57,sakalam,,auto,
Shiváya,57,Shivaaya,,auto,
Sukrtaermánavo,57,Sukrtaermaanavo,,auto,
vijiṋánamaya,57,vijnyaaanamaya,,auto,
Arúpratan,56,Aroopratan,,auto,
Bháratavarśa,56,Bhaaratavarsha,,auto,
dhá,56,dhaa,,auto,
Jiivátmá,56,Jiivaatmaa,,auto,
jiṋá,56,jnyaaa,,auto,
prańásha,56,prańaasha,,auto,
Puruśas,56,Purushas,,auto,
saḿsára,56,samsaara,,auto,
sarváńi,56,sarvaańi,,auto,
sváhá,56,svaahaa,,auto,
anádi,55,anaadi,,auto,
Cábhyutthánamadharmasya,55,Chaabhyutthaanamadharmasya,,auto,
guhá,55,guhaa,,auto,
náparah,55,naaparah,,auto,
Pitá,55,Pitaa,,auto,
prapattiváda,55,prapattivaada,,auto,
Shástra,55,Shaastra,,auto,
Shivánii,55,Shivaanii,,auto,
shubhayá,55,shubhayaa,,auto,
vidván,55,vidvaan,,auto,
aprápya,54,apraapya,,auto,
bhrámyate,54,bhraamyate,,auto,
Iishána,54,Iishaana,,auto,
Káshii,54,Kaashii,,auto,
málá,54,maalaa,,auto,
Miimáḿsá,54,Miimaamsaa,,auto,
Nátha,54,Naatha,,auto,
pápavinirmuktah,54,paapavinirmuktah,,auto,
Párvatii's,54,Paarvatii's,,auto,
Prajiṋá,54,Prajnyaaa,,auto,
prańáma,54,prańaama,,auto,
Prthagátmánaḿ,54,Prthagaatmaanam,,auto,
saḿvedana,54,samvedana,,auto,
sannyása,54,sannyaasa,,auto,
Táńd́ava,54,Taańdava,,auto,
váco,54,vaacho,,auto,
Varńa,54,Varńa,,auto,
ákásha,53,aakaasha,,auto,
Bráhmii,53,Braahmii,,auto,
cittáńu,53,chittaańu,,auto,
Ekádashii,53,Ekaadashii,,auto,
lyut́,53,lyut,,auto,
marańam,53,marańam,,auto,
sámiipya,53,saamiipya,,auto,
saḿyunaktu,53,samyunaktu,,auto,
sannyásii,53,sannyaasii,,auto,
Sárada,53,Saarada,,auto,
Shásanát,53,Shaasanaat,,auto,
tála,53,taala,,auto,
advaetaváda,52,advaetavaada,,auto,
agryábuddhi,52,agryaabuddhi,,auto,
ahaḿkára,52,ahamkaara,,auto,
bhála,52,bhaala,,auto,
bháśá,52,bhaashaa,,auto,
Dakśińeshvara,52,Dakshaińeshvara,,auto,
idaḿ,52,idam,,auto,
kathaḿ,52,katham,,auto,
máḿ,52,maam,,auto,
Samánii,52,Samaanii,,auto,
sárathi,52,saarathi,,auto,
vidyádhara,52,vidyaadhara,,auto,
Vishvasyaekaḿ,52,Vishvasyaekam,,auto,
Ác,51,aac,,auto,
ádarsha,51,aadarsha,,auto,
Átmatiirthaḿ,51,aatmatiirtham,,auto,
bháti,51,bhaati,,auto,
bhútánám,51,bhootaanaam,,auto,
Caryácarya,51,Charyaacharya,,auto,
dharmarájya,51,dharmaraajya,,auto,
icchá,51,icchaa,,auto,
jiivátma,51,jiivaatma,,auto,
kadácana,51,kadaachana,,auto,
Karmańyevádhikáraste,51,Karmańyevaadhikaaraste,,auto,
Kośas,51,Koshas,,auto,
krś,51,krsh,,auto,
Mahámáyá,51,Mahaamaayaa,,auto,
Puráńas,51,Puraańas,,auto,
sambhútis,51,sambhootis,,auto,
Sarvadharmán,51,Sarvadharmaan,,auto,
Vaerágya,51,Vaeraagya,,auto,
Vámácára,51,Vaamaachaara,,auto,
áman,50,aaman,,auto,
anubhúti,50,anubhooti,,auto,
atimánasa,50,atimaanasa,,auto,
dadháti,50,dadhaati,,auto,
grhaḿ,50,grham,,auto,
hirańmaya,50,hirańmaya,,auto,
jad́asphot́a,50,jadasphota,,auto,
kalpaná,50,kalpanaa,,auto,
kúrma,50,koorma,,auto,
mithyá,50,mithyaa,,auto,
náhi,50,naahi,,auto,
Nára,50,Naara,,auto,
nidrá,50,nidraa,,auto,
nityánitya,50,nityaanitya,,auto,
Pátaka,50,Paataka,,auto,
pratiśt́há,50,pratishthaa,,auto,
Samánamastu,50,Samaanamastu,,auto,
samprajiṋáta,50,samprajnyaaata,,auto,
srjámyáham,50,srjaamyaaham,,auto,
Svayambhúliuṋga,50,Svayambhooliuṋga,,auto,
abhidhyána,49,abhidhyaana,,auto,
bahudhá,49,bahudhaa,,auto,
bhávaná,49,bhaavanaa,,auto,
khái,49,khaai,,auto,
khesári,49,khesaari,,auto,
kśiiyate,49,kshaiiyate,,auto,
mahimá,49,mahimaa,,auto,
Pratyakśa,49,Pratyakshaa,,auto,
Saḿgacchadhvaḿ,49,Samgacchadhvam,,auto,
sarvabhútasya,49,sarvabhootasya,,auto,
Satsauṋga,49,Satsauṋga,,auto,
Shúdrocita,49,Shoodrochita,,auto,
svarúpa,49,svaroopa,,auto,
tadihántike,49,tadihaantike,,auto,
viirácára,49,viiraachaara,,auto,
Viśńorvishvamidaḿ,49,Vishńorvishvamidam,,auto,
átmanepadii,48,aatmanepadii,,auto,
Bhádra,48,Bhaadra,,auto,
bhárata,48,bhaarata,,auto,
bhayávahah,48,bhayaavahah,,auto,
Devábhágaḿ,48,Devaabhaagam,,auto,
Ekaḿ,48,Ekam,,auto,
jám,48,jaam,,auto,
kám,48,kaam,,auto,
kámáya,48,kaamaaya,,auto,
lajjá,48,lajjaa,,auto,
Mámakáh,48,Maamakaah,,auto,
Paeshácii,48,Paeshaachii,,auto,
páne,48,paane,,auto,
Paoráńika,48,Paoraańika,,auto,
Paropakárah,48,Paropakaarah,,auto,
prańipáta,48,prańipaata,,auto,
pre-Gaod́iiya,48,pre-Gaodiiya,,auto,
rásaliilá,48,raasaliilaa,,auto,
sevayá,48,sevayaa,,auto,
trtiiyaḿ,48,trtiiyam,,auto,
upayogáh,48,upayogaah,,auto,
Vajrayána,48,Vajrayaana,,auto,
Vistárah,48,Vistaarah,,auto,
yathápúrve,48,yathaapoorve,,auto,
bhiiśańaḿ,47,bhiishańam,,auto,
Eśa,47,Esha,,auto,
karmáńi,47,karmaańi,,auto,
phaleśu,47,phaleshu,,auto,
Pújá,47,Poojaa,,auto,
puráńa,47,puraańa,,auto,
tái,47,taai,,auto,
Támasika,47,Taamasika,,auto,
Teśáḿ,47,Teshaam,,auto,
uváca,47,uvaacha,,auto,
Gangá,46,Gangaa,,auto,
guńatrikońa,46,guńatrikońa,,auto,
jánanti,46,jaananti,,auto,
jiṋániicenmokśamápnuyát,46,jnyaaaniichenmokshaamaapnuyaat,,auto,
Mahájano,46,Mahaajano,,auto,
Padahastásana,46,Padahastaasana,,auto,
padmásana,46,padmaasana,,auto,
páiṋcabhaotika,46,paaiṋchabhaotika,,auto,
pán,46,paan,,auto,
pradhána,46,pradhaana,,auto,
samánaḿ,46,samaanam,,auto,
saḿjánáná,46,samjaanaanaa,,auto,
shál,46,shaal,,auto,
Shambhú,46,Shambhoo,,auto,
susahásati,46,susahaasati,,auto,
taḿ,46,tam,,auto,
Tántrikii,46,Taantrikii,,auto,
upásate,46,upaasate,,auto,
varánane,46,varaanane,,auto,
Ánandena,45,aanandena,,auto,
Bhavámbodhipotaḿ,45,Bhavaambodhipotam,,auto,
Gańapati,45,Gańapati,,auto,
jiivakot́i,45,jiivakoti,,auto,
karańa,45,karańa,,auto,
kárańaḿ,45,kaarańam,,auto,
Kevalaḿ,45,Kevalam,,auto,
khalvimáni,45,khalvimaani,,auto,
kleśa,45,klesha,,auto,
krśńa,45,krshńa,,auto,
Krśńasundaram,45,Krshńasundaram,,auto,
májhe,45,maajhe,,auto,
namámah,45,namaamah,,auto,
nihitártho,45,nihitaartho,,auto,
Paramátmanah,45,Paramaatmanah,,auto,
rasagollá,45,rasagollaa,,auto,
sárúpya,45,saaroopya,,auto,
shayáno,45,shayaano,,auto,
trikut́i,45,trikuti,,auto,
Vistára,45,Vistaara,,auto,
Ágneyii,44,aagneyii,,auto,
akliśt́a,44,aklishta,,auto,
Ásanas,44,aasanas,,auto,
Bhúmi,44,Bhoomi,,auto,
Brahmabháva,44,Brahmabhaava,,auto,
Brahmasadbhávo,44,Brahmasadbhaavo,,auto,
Draśt́avyamátmavattasmádabhedena,44,Drashtavyamaatmavattasmaadabhedena,,auto,
jánatám,44,jaanataam,,auto,
